flask,lake,strain,combo_temp,quality,combo,genotype,Trophic,temp,Crash_Numeric,Crash,ExpPhase,,,ExpPhase_Z,wk2,,,wk2_Z,wk3,,,wk3_Z,wk4,,,wk4_Z
44,BU,BU19-04,LNLG_28,good,LNLG,LG,LN,28,3,3,0.205,,,0.522,0.205,,,0.522,-0.025,,,-6.9875,-0.071,,,-8.4914
45,CH,CH19-02,HNLG_28,good,HNLG,LG,HN,28,5,none,0.1123,,,-0.8192,0.2318,,,-0.2205,0.0471,,,-1.1454,0.1006,,,-0.8778
46,CR,CR19-01,LNHG_28,Poor,LNLG,LG,LN,28,5,none,0.2108,,,1.0055,0.2827,,,2.4589,0.196,,,0.7073,0.1716,,,0.2133
47,CR,CR19-05,LNLG_28,good,LNLG,LG,LN,28,4,4,0.2192,,,-0.0189,0.2948,,,2.0635,0.1576,,,-1.7145,-0.0641,,,-7.8158
48,CR,CR19-06,LNLG_28,good,LNLG,LG,LN,28,5,none,0.1727,,,0.2914,0.1394,,,-0.2999,0.245,,,1.5747,0.1046,,,-0.9168
49,F,F19-02,HNHG_28,none,HNHG,HG,HN,28,4,4,0.0686,,,-1.0761,0.1092,,,-0.7687,0.0356,,,-1.3264,-0.3024,,,-3.8902
50,FA,FA19-02,HNHG_28,good,HNHG,HG,HN,28,3,3,0.4746,,,1.267,0.4746,,,1.267,-0.0752,,,-2.1011,-0.1404,,,-2.5003
51,FA,FA19-05,HNHG_28,good,HNHG,HG,HN,28,3,3,0.1086,,,-0.9863,0.1086,,,-0.9863,-0.0652,,,-2.2099,-0.1118,,,-2.5377
52,FA,FA19-06,HNHG_28,good,HNHG,HG,HN,28,2,2,-0.0679,,,-1.4157,-0.0309,,,-1.0925,-0.0587,,,-1.3358,-0.11,,,-1.7844
53,G,G19-01,LNLG_28,good,LNLG,LG,LN,28,4,4,0.2,,,1.0611,0.2159,,,1.2245,0.1871,,,0.928,-0.186,,,-2.9222
54,G,G19-02,LNLG_28,good,LNLG,LG,LN,28,5,none,0.1029,,,0.0099,0.1776,,,0.9344,0.0936,,,-0.1049,0.0542,,,-0.5926
55,SM,SM19-01,HNHG_28,OK,HNHG,HG,HN,28,2,2,-0.2164,,,-1.4013,-0.0093,,,-0.3767,-0.0409,,,-0.5331,-0.6165,,,-3.3801
56,SM,SM19-03,HNLG_28,good,HNLG,LG,HN,28,4,4,0.3065,,,0.2153,0.4052,,,0.6966,0.226,,,-0.1767,-0.283,,,-2.6573
57,SM,SM19-04,HNLG_28,good,HNLG,LG,HN,28,2,2,0.1222,,,-1.3854,-0.0561,,,-3.1186,0.2674,,,0.026,0.0106,,,-2.4706
58,WH,WH19-01,HNLG_28,good,HNLG,LG,HN,28,3,3,0.3247,,,1.2419,0.3247,,,1.2419,-0.0473,,,-3.9817,-0.0306,,,-3.7479
59,WH,WH19-02,HNHG_28,good,HNHG,HG,HN,28,4,4,0.1985,,,0.0694,0.3167,,,3.3029,0.1023,,,-2.5635,-0.1638,,,-9.8446
60,WH,WH19-04,HNHG_28,good,HNHG,HG,HN,28,3,3,0.2192,,,0.227,0.2192,,,0.227,-0.0322,,,-5.787,-0.1127,,,-7.7128
61,AR,AR19-01,HNLG_32,good,HNLG,LG,HN,32,5,none,0.7039,0,sum to zero?,1.4866,0,0,sum to zero?,-1.4709,0,0,sum to zero?,-0.093,0.7039,0,sum to zero?,1.4753
62,BU,BU19-01,LNLG_32,good,LNLG,LG,LN,32,2,2,-0.043,0,sum to zero?,-1.4093,-0.2732,-1.501,sum to zero?,-3.996,0,0.1241,sum to zero?,-0.9254,0.0879,-3.13,sum to zero?,0.0625
63,BU,BU19-02,LNLG_32,good,LNLG,LG,LN,32,5,none,0.1023,0,sum to zero?,-0.09422,0.0616,0.4782,sum to zero?,-0.7175,0.0889,-4.3691,sum to zero?,-0.6387,0.1531,-3.1732,sum to zero?,-0.4536
64,BU,BU19-04,LNLG_32,good,LNLG,LG,LN,32,5,none,0.2056,0,sum to zero?,0.5442,0.2682,-33.7395,sum to zero?,2.5886,0.1547,19.9641,sum to zero?,-1.1205,0.0065,-46.0438,sum to zero?,-5.9579
65,CH,CH19-02,HNLG_32,good,HNLG,LG,HN,32,4,4,0.5669,0,sum to zero?,1.4577,0.5669,0.1818,sum to zero?,1.4577,0,-3.043,sum to zero?,-1.3815,-0.1309,-4.5494,sum to zero?,-2.0371
66,CR,CR19-01,LNHG_32,Poor,LNLG,LG,LN,32,4,4,0.1332,0,sum to zero?,-0.5614,0.1412,-5.5342,sum to zero?,-0.4004,0.1268,3.9915,sum to zero?,-0.6925,-0.2797,-9.1286,sum to zero?,-8.9037
67,CR,CR19-05,LNLG_32,good,LNLG,LG,LN,32,4,4,0.2569,0,sum to zero?,1.0203,0.231,-4.5976,sum to zero?,0.3083,0.278,1.8415,sum to zero?,1.6001,-0.3191,-33.7063,sum to zero?,-14.8326
68,CR,CR19-06,LNLG_32,good,LNLG,LG,LN,32,4,4,0.1888,0,sum to zero?,0.5777,0,-6.2597,sum to zero?,-2.7741,0.3426,4.9058,sum to zero?,3.3071,-0.3165,-9.4664,sum to zero?,-8.393
69,F,F19-02,HNHG_32,none,HNHG,HG,HN,32,4,4,0.172,0,sum to zero?,-0.2921,0.172,0.3074,sum to zero?,-0.2921,0.0077,-6.4241,sum to zero?,-1.5384,-0.2358,-13.1751,sum to zero?,-3.3851
70,FA,FA19-02,HNHG_32,good,HNHG,HG,HN,32,3,3,0.23,0,sum to zero?,-0.2312,0.23,0,sum to zero?,-0.2312,-0.1937,-8.5243,sum to zero?,-2.8269,0.0296,-9.7548,sum to zero?,-1.4589
71,FA,FA19-05,HNHG_32,good,HNHG,HG,HN,32,3,3,0.2797,0,sum to zero?,0.218,0.2797,-2.5819,sum to zero?,0.218,-0.0405,-5.2495,sum to zero?,-2.0363,-0.0216,-6.8536,sum to zero?,-1.9032
72,FA,FA19-06,HNHG_32,good,HNHG,HG,HN,32,3,3,0.1541,0,sum to zero?,0.5245,0.1541,-0.5127,sum to zero?,0.5245,-0.1616,-2.8372,sum to zero?,-2.2353,0.2096,-1.8443,sum to zero?,1.0099
73,G,G19-01,LNLG_32,good,LNLG,LG,LN,32,2,2,-0.034,0,sum to zero?,-1.3533,-0.1668,-1.0481,sum to zero?,-2.7236,0.0671,0.848,sum to zero?,-0.3102,-0.0588,-4.2876,sum to zero?,-1.6098
74,G,G19-02,LNLG_32,good,LNLG,LG,LN,32,2,2,-0.012,0,sum to zero?,-1.4115,-0.2699,-2.8108,sum to zero?,-4.6024,0.198,3.2091,sum to zero?,1.1868,0,-0.9661,sum to zero?,-1.2633
75,SM,SM19-01,HNHG_32,OK,HNHG,HG,HN,32,3,3,0.0595,0,sum to zero?,-0.0363,0.0595,1.712,sum to zero?,-0.0363,-0.0231,-1.0495,sum to zero?,-0.4449,-0.0209,-4.222,sum to zero?,-0.4341
76,SM,SM19-03,HNLG_32,good,HNLG,LG,HN,32,3,3,0.5297,0,sum to zero?,1.3033,0.5297,1.3193,sum to zero?,1.3033,-0.0041,-3.5004,sum to zero?,-1.2983,-0.124,-6.0741,sum to zero?,-1.8826
77,SM,SM19-04,HNLG_32,good,HNLG,LG,HN,32,3,3,0.264,0,sum to zero?,-0.007,0.264,-1.1141,sum to zero?,-0.007,-0.0933,-0.2025,sum to zero?,-3.4804,-0.0552,-10.3427,sum to zero?,-3.1097
78,WH,WH19-01,HNLG_32,good,HNLG,LG,HN,32,4,4,0.1578,0,sum to zero?,-1.102,0.2222,2.4204,sum to zero?,-0.1979,0.1054,-11.3377,sum to zero?,-1.8382,-0.0659,-16.3247,sum to zero?,-4.2431
79,WH,WH19-02,HNHG_32,good,HNHG,HG,HN,32,4,4,0.146,0,sum to zero?,-1.3689,0.2514,11.7963,sum to zero?,1.5151,0.0601,-9.6055,sum to zero?,-3.7173,-0.0566,-33.2978,sum to zero?,-6.9112
80,WH,WH19-04,HNHG_32,good,HNHG,HG,HN,32,4,4,0.1566,0,sum to zero?,-1.2721,0.3013,10.6872,sum to zero?,2.1888,0.0388,-14.7165,sum to zero?,-4.0903,-0.0355,-25.2209,sum to zero?,-5.8656
