flask,Lake,strain,combo_temp,combo,genotype,Trophic,temp,Crash_Numeric,Crash,Phase,Growth,NeverPositive,Growth_Z,Keep,Growth_Z_by_timepoint,NegativePositiveGrowth
19,WH19,WH19-02,HNHG_20,HNHG,HG,HN,20,4,4,wk4,-0.1579,n,-9.6829,y,-0.816746997,negative
20,WH19,WH19-04,HNHG_20,HNHG,HG,HN,20,5,none,Exp,0.2578,n,1.1487,y,1.149496312,positive
20,WH19,WH19-04,HNHG_20,HNHG,HG,HN,20,5,none,wk2,0.4557,n,5.8837,y,1.364872315,positive
20,WH19,WH19-04,HNHG_20,HNHG,HG,HN,20,5,none,wk3,0.0966,n,-2.7069,y,0.597264985,positive
20,WH19,WH19-04,HNHG_20,HNHG,HG,HN,20,5,none,wk4,0.0095,n,-4.7903,y,1.201833442,positive
21,AR19,AR19-01,HNLG_24,HNLG,LG,HN,24,3,3,Exp,0.3588,n,-0.3324,y,-0.332485844,positive
21,AR19,AR19-01,HNLG_24,HNLG,LG,HN,24,3,3,wk2,0.3588,n,0.4427,y,0.442673403,positive
21,AR19,AR19-01,HNLG_24,HNLG,LG,HN,24,3,3,wk3,-0.134,n,-1.0628,y,-1.062850486,negative
21,AR19,AR19-01,HNLG_24,HNLG,LG,HN,24,3,3,wk4,-0.0975,n,-0.5796,y,-0.579644939,negative
22,BU19,BU19-01,LNLG_24,LNLG,LG,LN,24,4,4,Exp,0.1556,n,0.8239,y,0.823963487,positive
22,BU19,BU19-01,LNLG_24,LNLG,LG,LN,24,4,4,wk2,0.2209,n,1.5575,y,0.782107263,positive
22,BU19,BU19-01,LNLG_24,LNLG,LG,LN,24,4,4,wk3,0.1025,n,0.2265,y,0.198131847,positive
22,BU19,BU19-01,LNLG_24,LNLG,LG,LN,24,4,4,wk4,-0.0553,n,-1.5466,y,-0.909270014,negative
23,BU19,BU19-02,LNLG_24,LNLG,LG,LN,24,3,3,Exp,0.8184,n,1.4668,y,1.46682332,positive
23,BU19,BU19-02,LNLG_24,LNLG,LG,LN,24,3,3,wk2,0.8184,n,1.4668,y,1.220501191,positive
23,BU19,BU19-02,LNLG_24,LNLG,LG,LN,24,3,3,wk3,-0.6604,n,-2.8015,y,-1.49457557,negative
23,BU19,BU19-02,LNLG_24,LNLG,LG,LN,24,3,3,wk4,0,n,-0.8954,y,-0.276221822,positive
24,BU19,BU19-04,LNLG_24,LNLG,LG,LN,24,2,2,Exp,0.1431,n,-1.4982,y,-1.498242593,positive
24,BU19,BU19-04,LNLG_24,LNLG,LG,LN,24,2,2,wk2,-0.5849,n,-25.2729,y,-1.310690446,negative
24,BU19,BU19-04,LNLG_24,LNLG,LG,LN,24,2,2,wk3,0.7359,n,17.8611,y,1.153148725,positive
24,BU19,BU19-04,LNLG_24,LNLG,LG,LN,24,2,2,wk4,-0.0369,n,-7.3772,y,0.484441983,negative
25,CH19,CH19-02,HNLG_24,HNLG,LG,HN,24,4,4,Exp,0.2105,n,-0.3269,y,-0.327164739,positive
25,CH19,CH19-02,HNLG_24,HNLG,LG,HN,24,4,4,wk2,0.2254,n,-0.2526,y,-0.304454759,positive
25,CH19,CH19-02,HNLG_24,HNLG,LG,HN,24,4,4,wk3,0.1985,n,-0.3875,y,0.624786027,positive
25,CH19,CH19-02,HNLG_24,HNLG,LG,HN,24,4,4,wk4,-0.0202,n,-1.4826,y,-0.426443516,negative
26,CR19,CR19-01,LNHG_24,LNHG,HG,LN,24,5,none,Exp,0.194,n,0.6654,n,0.665928945,positive
26,CR19,CR19-01,LNHG_24,LNHG,HG,LN,24,5,none,wk2,0.0886,n,-1.4624,n,-0.022204225,positive
26,CR19,CR19-01,LNHG_24,LNHG,HG,LN,24,5,none,wk3,0.3139,n,3.0882,n,1.338173272,positive
26,CR19,CR19-01,LNHG_24,LNHG,HG,LN,24,5,none,wk4,0.1219,n,-0.7908,n,0.335619398,positive
27,CR19,CR19-05,LNLG_24,LNLG,LG,LN,24,4,4,Exp,0.2327,n,0.3528,y,0.353514588,positive
27,CR19,CR19-05,LNLG_24,LNLG,LG,LN,24,4,4,wk2,0.302,n,2.2608,y,0.624934852,positive
27,CR19,CR19-05,LNLG_24,LNLG,LG,LN,24,4,4,wk3,0.1762,n,-1.2008,y,-0.718418705,positive
27,CR19,CR19-05,LNLG_24,LNLG,LG,LN,24,4,4,wk4,-0.1502,n,-10.1838,y,-0.302155284,negative
28,CR19,CR19-06,LNLG_24,LNLG,LG,LN,24,5,none,Exp,0.1909,n,0.6151,y,0.614935891,positive
28,CR19,CR19-06,LNLG_24,LNLG,LG,LN,24,5,none,wk2,0.1155,n,-0.7233,y,0.681007438,positive
28,CR19,CR19-06,LNLG_24,LNLG,LG,LN,24,5,none,wk3,0.2658,n,1.9449,y,0.32232754,positive
28,CR19,CR19-06,LNLG_24,LNLG,LG,LN,24,5,none,wk4,0.1537,n,-0.045,y,0.5749817,positive
29,F19,F19-02,HNHG_24,HNHG,HG,HN,24,3,3,Exp,0.3852,n,1.3247,y,1.324772434,positive
